channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
Bécon,408252612,95500,1600,128385,3361,90,4643111,475532,482,0,128385
Achevo,115569505,183000,310,209277,9903,256,9975007,404519,741,0,209277
Genshin Boy,95801820,45,27,4389,70,4,7302821,34500270,21325,30,4389
Tuonto,367029012,1510000,605,1678193,81216,1026,14783805,393128,737,0,1678193
Kiko,122225106,146000,1367,952331,57776,724,11776132,2307302,5425,1,952331
Cozy >ᴗ<,11648745,91,39,158,15,11,1067919,614165,2259,42,158
Albsterz,333097615,30400,1829,52735,2312,90,15639844,613613,1042,1,52735
Ayumi ۶ৎ,58020954,2690,49,3007,197,51,999525,395412,1003,6,3007
Genshin Impact Lore,197192745,1790,32,12213,1082,19,1650656,2413452,8286,3,12213
Genshin Impact Lofi - Topic,101718076,204,34,0,0,0,0,0,0,0,0
Ice Cream Sandwich,320646661,3730000,59,7125313,312038,13418,37992809,675716,1146,1,7125313
sharkilly-churl,14814990,1070,36,2258,152,23,1608796,746465,1947,7,2258
GENSHIN NETWORK ,62706324,3390,774,70209,2075,50,3484883,7325926,8391,5,70209
RedVelvetVA,273220789,110000,230,734678,37890,669,6489596,2362510,4722,2,734678
Togi genshin,15114242,3,5,1069,0,3,151991,126045077,0,348,1069
Kage PrimeX,9915733,6,1,10206,0,24,0,601691328,0,1392,10206
Jadealy,125052507,343000,675,222765,11058,330,4179924,229732,441,0,222765
GenJhin's Genshin Impact Guides,162076225,1040,350,634,0,2,7315254,215638,0,0,634
Visible,369631017,322000,87,1259702,91195,1394,13218300,1383825,3882,1,1259702
Suli,144210355,117000,1308,30639,797,192,15552496,92631,93,0,30639
