channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration,view
United India Exporters,1775286827,4260000,20968,5154686,31763,1379,6762,31889273,0,252159,54390,971,3633,5154686
C4 Review Phim,1775286831,7110,125,194234,326,21,1216,2652058,0,252159,54390,971,3633,194234
HighlightsNepal,1775286841,6680000,9884,4994184,47803,1915,3452,33360296,0,252159,54390,971,3633,4994184
Nguyễn Review 2,1775286841,198000,546,743266,1954,39,1170,3676729,0,252159,54390,971,3633,743266
Việt Hoàng Review,1775286842,7390,64,159118,621,39,1062,1488193,0,252159,54390,971,3633,159118
MAGNETFILM,1775286841,682000,297,2765904,78257,2770,609,19403601,0,252159,54390,971,3633,2765904
Cuốn Phim Review,1775286842,103000,435,61793,143,8,959,763521,0,252159,54390,971,3633,61793
Orange Phim Recap,1775286842,16800,192,197072,853,23,1534,1967800,0,252159,54390,971,3633,197072
Trùm Phim Review,1775286840,197000,857,1007958,3905,161,3187,8937944,0,252159,54390,971,3633,1007958
W2W Movie,1775286845,614000,2317,1399554,11851,187,1365,13793205,0,252159,54390,971,3633,1399554
Én Xinh Review,1775286855,19300,160,255299,879,126,1100,2428802,0,252159,54390,971,3633,255299
Em Linh Review,1775286845,144000,309,54181,303,19,7569,3950435,0,252159,54390,971,3633,54181
Thanh Thúy Review,1775286845,55200,55,732708,3781,331,7230,2392441,0,252159,54390,971,3633,732708
Gấu Xàm,1775286860,514000,153,2427113,9769,188,3227,11177046,0,252159,54390,971,3633,2427113
Phim Tình cắm mốc,1775286853,131000,88,876768,4675,229,8646,1123196,0,252159,54390,971,3633,876768
